Code;pH;TOC;P;K;Mg;Ca;Na;MC;CEC
JZ_11;6.8;1.61;30;55;24;262;17;7.35;17.25
JZ_12;7.8;1.37;31;24;22;646;10.3;7.9;35.2
JZ_13;7;1.6;36;60;30;283;19;7.63;19.01
JZ_14;7.2;1.28;39;41;31;258;28;6.98;17.75
JZ_15;6.8;1.42;35;30;24;221;21;5.2;14.73
JZ_16;6.8;1.72;28;34;20;221;19;6.59;14.41
JZ_17;6.6;1.03;22;19;20;192;13.1;7.5;12.32
JZ_19;7.1;2.2;31;39;18;224;11.5;10.19;14.2
JZ_20;6.7;1.43;41;29;30;194;16;7.5;13.64
JZ_21;6.8;1.24;40;29;29;245;18;12.05;16.19
JZ_22;7.3;2.3;38;35;21;289;19;9.38;17.92
JZ_23;7.3;1.3;39;39;26;230;21;14.22;15.58
JZ_24;7;1.17;28;28;24;244;19;12.74;15.74
MA_1;7.2;1.43;49;44;25;343;3.3;23.96;20.51
MA_2;7.1;1.38;26;41;25;332;2.8;23.98;19.86
MA_3;6.3;1.82;8;44;20;172;6.3;28.81;11.67
MA_4;7.1;1.16;26;33;22;391;2.8;22.1;22.35
MA_6;7;1.8;34;44;20;250;3.3;22.83;15.44
MA_7;7.1;1.33;28;37;18;228;3.2;21.79;13.99
MA_8;7.1;1.38;27;44;20;230;4.7;23.53;14.5
MA_9;7.1;1.28;26;35;18;229;2.7;20.94;13.96
MA_10;7.4;1.27;38;32;23;317;2.6;21.07;18.7
MA_11;7.4;1.25;38;41;21;387;5.2;21.29;22.38
